"HolderAddress","Quantity","PendingBalanceUpdate"
"0x3b5362ceb3c417148bbec31c7927c65ff7987326","1","No"
"0x2659c70663762de8a1eaef4d9d5947d56a778588","1","No"
"0x26b7929ce02124e8ff4aa380da99f92abc45f167","1","No"
"0x7ebf6c693dd590d5b17b6f1b532592173bba36c4","1","No"
"0x92d2eeacf8c6926d904e7bbf692439ce61641555","1","No"
"0x77d4c4263490ce26c0689c214451ab6e9f7ef800","1","No"
"0x8526a1962c498aa32af5771515335ce1be976678","1","No"
"0xb8fc1b83c3668ae2e805a94dbd40aac5dadb4c68","1","No"
"0x0da1d27ab726669ed32ff3963cd9167ffaa04742","1","No"
"0x7cb38495e166d04d9b02e83de75bde9515839500","1","No"
"0x7a586b81960b935f5d1780c57d89712525723d5e","1","No"
"0x66d8137e644fb7d03eeffd6b45eef812da3dcbb3","1","No"
"0x9565cc685b367d2d9a3b224a9d01751428c3cd03","1","No"
"0xfade7def5cc017c098a2d47db1f043c6123f968c","1","No"
"0x86ce032489383ec0564bad2ed868048f0b1030f2","1","No"
"0x7f3cd654d6de6073f9d5a91569196ee2b84f003a","1","No"
"0xfe1d7c5889ad8b283b6d9e42604d8fb37d6391f3","1","No"
"0x19aaf3138e5859294679f19af871a12aac4c8880","1","No"
"0xc2006d4ac8b0340317ca0242151842dcf5c19393","1","No"
"0x4e6f358c8d0e154eb355ddb02df51885fb9e43f6","1","No"
"0x461b263b931193dd0cfa4045c75ee880305fdfaf","1","No"
"0x43219c42267d999e7de95dbf4db5ad95042e7be2","1","No"
"0xfa7d2a71d2852f722caf216669e540d625baa1e1","1","No"
"0xaf43d3c6a1362ca33fbba27d16959deb454f72ae","1","No"
"0xd896c64fae3f8eb6b0c09cb0d26d56c0d2d695a4","1","No"
"0xaa18448eb19cd801c63f05176d095b66e78e8a00","1","No"
"0x9a2fc4b3b22709f999b3bac0590a47f6507d2635","1","No"
"0x7298e9850d57ca5150195a41d7cc34f8fc6b3afa","1","No"
"0x0fbed08f678ad127600a740f4758cb82d7c761b8","1","No"
"0x3cbda54c6dc2858c44dd35dbdbe83f9f4fd7475a","1","No"
"0xf4f26672e1c1c85f7251979497729506cb46e97d","1","No"
"0xb3cfaa16368a907bf8f195e27eda60b0477a8a5c","1","No"
"0xcd01a3aced67e266be21117376c7025b384cd4d7","1","No"
"0x60924cce392bb442220db8c867de4b56b6a8fa33","1","No"
"0x9622d9a65e80f48f7d93cb8d41d1a3626cb0949e","1","No"
"0xe9a8e5b01bae2866fcb237036a909882c66f830b","1","No"
"0x289c44ab3f461127af1f04fc80f8b54fc3ff7316","1","No"
"0x9ceb04becbe3c790ca6a2bb0a58207f192bf0f06","1","No"
"0x989289216a7948b3ef3180b7543d816944e0c713","1","No"
"0x237d29b88ac4dffb3a3d6cc3d7fc407bcd8459c9","1","No"
"0x16ca503edbbccfbbe2520613343770ab863ecf92","1","No"
"0x139996f03378e1a6b5decf2c58b20926e75b7ac4","1","No"
"0x7212669fa095dd654ab5231c817be8980863bf01","1","No"
"0x2027085291a27394888acc53785b4179f060e145","1","No"
"0x223cf852a2320b7d451bbf5ff8e97cc3aa6fec9b","1","No"
"0x59c2d175b1507a7475f19d1129d6d9b5cc9c127f","1","No"
"0x325b3edfe868631c77cca84fd3570a52e324837e","1","No"
"0xa6446c760daab33cd129feb25b8a56a68d9ae796","1","No"
"0x0000000813b34008a225de08a6a61835508c71f9","1","No"
"0x1111111648cca5d28dc85e0b0b04b735491fd9ad","1","No"
"0x55555554ebdfe8503ecf0350cd7c069e1134d716","1","No"
"0x88888882bb6125af160999e91bca82b56e0b819b","1","No"
"0x7f2efd53dd24470f8e2a6ce45d34fad736ac830f","1","No"
"0xe5bd4145b51e35a2c49ae8df4f0065da449d6523","1","No"
"0xb37b54db1cdb7ca82df3eb372067fa94ac962882","1","No"
"0xfa667af4291fe3013c34ecc6d2ace5142144a818","1","No"
"0xb678692aa34b8b51ed53f358d2c3d4355d2f2750","1","No"
"0x48c457867ddefe44737307367f651ac9c0792048","1","No"
"0x065d1087b64cae99db10858e58fa64c403781007","1","No"
"0x2a8bc27e9312d0ffb981cefb6b95c65fa2a9f9d2","1","No"
"0x40fb8e2672420dfc09e5b6b23175124fcbf3c9b8","1","No"
"0xc5354aae4d5cd4492c965c688b616b2cd0c95337","1","No"
"0xca8a8247102785eb6d6a59bdc790a1ffddbd16c5","1","No"
"0x70a63c05932f74e5803427e9fe75570618bd1766","1","No"
"0x3420c19bcd121e6febcc20fd502b14a71c2f857b","1","No"
"0xd73f607911967e716e9c275e71831d90c22e9bc2","1","No"
