owner,tickLower,tickUpper,Withdrawable amount,amount
0x52f13f32be3b8b0e0fd94c5a13a12d287b1f3bb4,-69060,0,0,0
0x53824f9d0425d479adc1a3f4a4fea8de062713a9,-10980,-6960,0.000089,89000000000000
0x5423a8e62aeb6303ed9b46a79dd751d813d83f67,-32220,-16080,0.003054805617,3054805616753530
0x552ba1aa9782d55eae27ea285a8795cbe81081d1,-69060,0,0,0
0x558e55c826117216bb4bfd4229e7da960c51d117,-69060,0,0,0
0x560bc68d73ec2d0c25eb9a655ef915d9979f5e42,-93900,0,0.00000215807525,2158075249689
0x560bc68d73ec2d0c25eb9a655ef915d9979f5e42,-69060,0,0,0
0x560bc68d73ec2d0c25eb9a655ef915d9979f5e42,-24840,0,0,0
0x57c77a279efe56b51185ae14c4e43e79a7b0db50,-69060,0,14.20738109,14207381089198700000
0x584cac684a032cbe0902ffe9e6302ab47a1cea1d,-32220,-20820,0.001138760431,1138760430864820
0x591e8baae9b27dbb2e27177e1c99cdf89f752be4,-69060,0,0,0
0x5943b60579e14816ee860673f5c1a6111bccfdf1,-76020,0,0.000003075052088,3075052088488
0x5943b60579e14816ee860673f5c1a6111bccfdf1,-69060,0,0,0
0x5943b60579e14816ee860673f5c1a6111bccfdf1,-6960,0,0,0
0x5adfa3e78ccae7e53093d42230f7677130e047fb,-76020,0,0.000001970126622,1970126622404
0x5adfa3e78ccae7e53093d42230f7677130e047fb,-69060,0,0,0
0x5adfa3e78ccae7e53093d42230f7677130e047fb,-6960,0,0,0
0x5b116630ad7a19838559b7fffbb22f4d39ca9a06,-76020,0,0.000005331995848,5331995847537
0x5b116630ad7a19838559b7fffbb22f4d39ca9a06,-69060,0,0,0
0x5b116630ad7a19838559b7fffbb22f4d39ca9a06,-6960,0,0,0
0x5b855bc0cff6af143ff74e5257addba80e8ca015,-69060,0,0,0
0x5bd4186811aaf5b639eabba70c6e8875035f9097,-29940,69060,0.01264293728,12642937284203800
0x5c30b7d823f405ba0f3863b54617b172daa4061c,-69060,0,0,0
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,-69060,0,1.31974837,1319748369685470000
0x5decc24b074fea1486204a4d1584e2bc7d757854,-10980,-6960,0.000001,1000000000000
0x5f4cea6bbaf0650455b0fea471ca2a6952306108,-32940,-6960,0.000001000527008,1000527007915
0x611f8c1fd88957204fba39042ae9787061ac9ab0,-29940,69060,0.01264293728,12642937284203800
0x6128c9b046c1faf7e2f75e42691bf81c5e694143,-33300,-6960,0.000001001570512,1001570512261
0x61a939e23075efe019afdb3f223c36a48dc7dc2d,-13860,-10980,0.0495,49500000000000000
0x638c23e630fdc227010f3270d9d77ccaafdaeb1d,-69060,0,0,0
0x6417b15fb03d5e8c6f287dc26f59761a251363da,-23040,0,0.001350692541,1350692540976260
0x644db66907a36237223e3401d31f6b0e88012a71,-23040,0,0.0001398641591,139864159069514
0x64b71850a713994827892fd7aa9d89a70cca0e82,-93060,0,0.000001254454451,1254454450631
0x64b71850a713994827892fd7aa9d89a70cca0e82,-69060,0,0,0
0x64b71850a713994827892fd7aa9d89a70cca0e82,-24000,0,0,0
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-234900,-104940,22.8659497,22865949703399100000
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-69060,-27060,0,0
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-69060,0,0,0
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-52980,-43800,0,0
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-21960,-17040,0,0
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-21840,-17040,0,0
0x680a96fbd13817b8f3f595a238f7e6febc05aeb8,-23040,0,0.005006770912,5006770912259190
0x6a0ad0597065eb3d2c888b7fbc2a19312cef3e4c,-69060,0,0,0
0x6d98c4cc74447b2e80f2f211cab54bc51cab8a11,-95460,-24840,0,0
0x6d98c4cc74447b2e80f2f211cab54bc51cab8a11,-69060,0,0,0
0x6d98c4cc74447b2e80f2f211cab54bc51cab8a11,-26400,-24840,0,0
0x6da6dcbbd82d8b3b68da9360394157a8a8f3be67,-69060,0,0,0
0x6df87f9a66e0452806fa98f7c6c3aea4d62ab7e7,-25680,-19440,0.000028,28000000000000
0x6e2048c73dc19326e1e51c9939bd1521c432e1a2,-69060,0,0,0
0x6e732e16528c898be2cf573391992204cfafa06c,-23040,0,0.005572535241,5572535240938850
0x6f5a02c3b722002dc49c78460827b16ffa42fd33,-69060,0,0,0
0x6fb6cba30de6fe08920eb5c5e86ff571eb951335,-23040,23040,0.000001,1000000000000
0x6ff0ec5008048e18453a4b0db705c2e59974474d,-76020,0,0.000003726495328,3726495327654
0x6ff0ec5008048e18453a4b0db705c2e59974474d,-69060,0,0,0
